waiver_value_tier,position,fantasy_regular_season_weeks_remaining,league_budget_pct_remaining,player_season_number,winning_bid_dollars
3,RB,1,25,1,23
3,QB,1,25,2,21
3,QB,1,25,5,10
1,WR,2,30,7,60
1,RB,2,30,4,22
2,WR,2,30,2,18
2,RB,2,30,1,11
4,WR,3,30,1,5
4,QB,3,30,5,2
4,TE,3,30,2,2
2,RB,4,40,1,42
2,TE,4,40,3,18
4,K,4,40,3,7
5,RB,4,40,4,7
5,QB,4,40,5,2
5,K,4,40,6,2
2,WR,5,45,4,25
2,WR,5,45,4,21
4,WR,5,45,2,10
1,RB,6,50,4,35
2,RB,6,50,2,25
2,RB,6,50,1,11
4,WR,6,50,1,15
4,QB,6,50,1,5
2,WR,7,55,3,30
2,WR,7,55,3,20
3,RB,7,55,2,7
3,TE,7,55,4,6
1,RB,8,60,1,56
4,WR,8,60,5,20
2,WR,8,60,7,11
3,RB,8,60,2,5
2,QB,9,65,4,36
1,RB,9,65,1,35
3,WR,9,65,6,20
4,RB,9,65,7,20
5,TE,9,65,1,4
1,RB,10,70,4,41
2,TE,10,70,3,21
1,RB,11,70,1,75
1,WR,11,70,2,35
3,QB,11,70,4,21
4,TE,11,70,5,10
5,K,11,70,3,5
5,K,11,70,4,2
2,WR,12,75,10,20
2,RB,12,75,2,20
3,QB,12,75,1,15
4,WR,12,75,4,7
4,RB,12,75,4,6
4,QB,12,75,6,5
5,QB,12,75,3,4
1,RB,13,100,2,65
1,WR,13,100,1,42
1,WR,13,100,4,26
2,RB,13,100,4,25
3,RB,13,100,5,16
3,WR,13,100,4,11
3,TE,13,100,5,10
3,TE,13,100,5,10
3,TE,13,100,6,5
3,K,13,100,9,5
